code,name
102801000,Adams
102802000,Bacarra
102803000,Badoc
102804000,Bangui
102805000,City of Batac
102806000,Burgos
102807000,Carasi
102808000,Currimao
102809000,Dingras
102810000,Dumalneg
102811000,Banna
102812000,City of Laoag 
102813000,Marcos
102814000,Nueva Era
102815000,Pagudpud
102816000,Paoay
102817000,Pasuquin
102818000,Piddig
102819000,Pinili
102820000,San Nicolas
102821000,Sarrat
102822000,Solsona
102823000,Vintar
102901000,Alilem
102902000,Banayoyo
102903000,Bantay
102904000,Burgos
102905000,Cabugao
102906000,City of Candon
102907000,Caoayan
102908000,Cervantes
102909000,Galimuyod
102910000,Gregorio del Pilar
102911000,Lidlidda
102912000,Magsingal
102913000,Nagbukel
102914000,Narvacan
102915000,Quirino
102916000,Salcedo
102917000,San Emilio
102918000,San Esteban
102919000,San Ildefonso
102920000,San Juan
102921000,San Vicente
102922000,Santa
102923000,Santa Catalina
102924000,Santa Cruz
102925000,Santa Lucia
102926000,Santa Maria
102927000,Santiago
102928000,Santo Domingo
102929000,Sigay
102930000,Sinait
102931000,Sugpon
102932000,Suyo
102933000,Tagudin
102934000,City of Vigan 
103301000,Agoo
103302000,Aringay
103303000,Bacnotan
103304000,Bagulin
103305000,Balaoan
103306000,Bangar
103307000,Bauang
103308000,Burgos
103309000,Caba
103310000,Luna
103311000,Naguilian
103312000,Pugo
103313000,Rosario
103314000,City of San Fernando 
103315000,San Gabriel
103316000,San Juan
103317000,Santo Tomas
103318000,Santol
103319000,Sudipen
103320000,Tubao
105501000,Agno
105502000,Aguilar
105503000,City of Alaminos
105504000,Alcala
105505000,Anda
105506000,Asingan
105507000,Balungao
105508000,Bani
105509000,Basista
105510000,Bautista
105511000,Bayambang
105512000,Binalonan
105513000,Binmaley
105514000,Bolinao
105515000,Bugallon
105516000,Burgos
105517000,Calasiao
105518000,City of Dagupan
105519000,Dasol
105520000,Infanta
105521000,Labrador
105522000,Lingayen 
105523000,Mabini
105524000,Malasiqui
105525000,Manaoag
105526000,Mangaldan
105527000,Mangatarem
105528000,Mapandan
105529000,Natividad
105530000,Pozorrubio
105531000,Rosales
105532000,City of San Carlos
105533000,San Fabian
105534000,San Jacinto
105535000,San Manuel
105536000,San Nicolas
105537000,San Quintin
105538000,Santa Barbara
105539000,Santa Maria
